essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,magic_duration_sec,autoscore_duration_sec,timestamp
AAAVUP14319000158497,ASAP,4,4,-1,,2,-1,-1,-1,-1,-1,,0.0,440.2,2026-06-04T16:40:00
AAAVUP14319000158489,ASAP,3,3,-1,,1,-1,-1,-1,-1,-1,,0.0,277.3,2026-06-04T16:47:21
AAAVUP14319000158452,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,227.0,2026-06-04T16:51:59
AAAVUP14319000158359,ASAP,4,4,-1,,2,-1,-1,-1,-1,-1,,0.0,233.1,2026-06-04T16:55:48
AAAVUP14319000158227,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,211.5,2026-06-04T16:59:42
AAAVUP14319000158173,ASAP,3,3,-1,,1,-1,-1,-1,-1,-1,,0.0,216.3,2026-06-04T17:03:14
AAAVUP14319000158151,ASAP,1,0,-1,,1,-1,-1,-1,-1,-1,,0.0,203.4,2026-06-04T17:06:52
AAAVUP14319000158078,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,200.7,2026-06-04T17:10:16
AAAVUP14319000158058,ASAP,3,3,-1,,-1,-1,-1,-1,-1,-1,,0.0,261.5,2026-06-04T17:13:38
AAAVUP14319000158050,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,204.6,2026-06-04T17:18:00
AAAVUP14319000158039,ASAP,3,3,-1,,1,-1,-1,-1,-1,-1,,0.0,224.3,2026-06-04T17:21:26
AAAVUP14319000158007,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,205.7,2026-06-04T17:25:12
AAAVUP14319000157985,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,2114.4,2026-06-04T17:28:38
AAAVUP14319000157959,ASAP,3,3,-1,,1,-1,-1,-1,-1,-1,,0.0,256.2,2026-06-04T18:03:54
AAAVUP14319000157933,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,224.6,2026-06-04T18:08:11
AAAVUP14319000157912,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,223.1,2026-06-04T18:11:57
AAAVUP14319000157900,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,254.5,2026-06-04T18:15:41
AAAVUP14319000157873,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,264.4,2026-06-04T18:19:57
AAAVUP14319000157872,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,229.6,2026-06-04T18:24:22
AAAVUP14319000157871,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,221.2,2026-06-04T18:28:13
AAAVUP14319000157864,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,226.3,2026-06-04T18:31:55
AAAVUP14319000157857,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,245.2,2026-06-04T18:35:42
AAAVUP14319000157856,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,231.1,2026-06-04T18:39:49
AAAVUP14319000157853,ASAP,4,4,-1,,3,-1,-1,-1,-1,-1,,0.0,233.9,2026-06-04T18:43:41
AAAVUP14319000157815,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,286.3,2026-06-04T18:47:36
AAAVUP14319000157549,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,214.0,2026-06-04T18:52:23
AAAVUP14319000157511,ASAP,3,3,-1,,-1,-1,-1,-1,-1,-1,,0.0,231.9,2026-06-04T18:55:58
AAAVUP14319000157510,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,227.9,2026-06-04T18:59:51
AAAVUP14319000157454,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,229.2,2026-06-04T19:03:40
AAAVUP14319000157450,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,216.7,2026-06-04T19:07:30
AAAVUP14319000157449,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,215.7,2026-06-04T19:11:08
AAAVUP14319000157448,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,207.3,2026-06-04T19:14:45
AAAVUP14319000157447,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,210.4,2026-06-04T19:18:13
AAAVUP14319000157383,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,196.4,2026-06-04T19:21:44
AAAVUP14319000157379,ASAP,3,3,-1,,3,-1,-1,-1,-1,-1,,0.0,241.5,2026-06-04T19:25:02
AAAVUP14319000157378,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,236.0,2026-06-04T19:29:04
AAAVUP14319000157334,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,186.0,2026-06-04T19:33:01
AAAVUP14319000157331,ASAP,4,4,-1,,2,-1,-1,-1,-1,-1,,0.0,238.5,2026-06-04T19:36:08
AAAVUP14319000157318,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,196.0,2026-06-04T19:40:08
AAAVUP14319000157213,ASAP,1,0,-1,,1,-1,-1,-1,-1,-1,,0.0,200.6,2026-06-04T19:43:25
AAAVUP14319000157200,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,244.4,2026-06-04T19:46:46
AAAVUP14319000157181,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,208.0,2026-06-04T19:50:52
AAAVUP14319000157142,ASAP,3,3,-1,,-1,-1,-1,-1,-1,-1,,0.0,220.3,2026-06-04T19:54:21
AAAVUP14319000157106,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,243.4,2026-06-04T19:58:02
AAAVUP14319000157105,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,338.5,2026-06-04T20:02:07
AAAVUP14319000157102,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,255.6,2026-06-04T20:07:47
AAAVUP14319000157098,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,219.0,2026-06-04T20:12:04
AAAVUP14319000156823,ASAP,2,2,-1,,-1,-1,-1,-1,-1,-1,,0.0,208.6,2026-06-04T20:15:44
AAAVUP14319000156753,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,234.1,2026-06-04T20:19:13
AAAVUP14319000156734,ASAP,5,6,-1,,3,-1,-1,-1,-1,-1,,0.0,220.0,2026-06-04T20:23:08
AAAVUP14319000156505,ASAP,3,3,-1,,1,-1,-1,-1,-1,-1,,0.0,247.3,2026-06-04T20:26:50
AAAVUP14319000156451,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,222.1,2026-06-04T20:30:58
AAAVUP14319000156442,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,220.1,2026-06-04T20:34:41
AAAVUP14319000156419,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,221.8,2026-06-04T20:38:22
AAAVUP14319000156395,ASAP,3,3,-1,,1,-1,-1,-1,-1,-1,,0.0,276.9,2026-06-04T20:42:05
AAAVUP14319000156386,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,244.6,2026-06-04T20:46:43
AAAVUP14319000156385,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,242.2,2026-06-04T20:50:49
AAAVUP14319000156366,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,206.4,2026-06-04T20:54:52
AAAVUP14319000156332,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,214.6,2026-06-04T20:58:20
AAAVUP14319000156309,ASAP,5,6,-1,,3,-1,-1,-1,-1,-1,,0.0,263.1,2026-06-04T21:01:55
AAAVUP14319000156297,ASAP,3,3,-1,,-1,-1,-1,-1,-1,-1,,0.0,289.4,2026-06-04T21:06:20
AAAVUP14319000156287,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,204.5,2026-06-04T21:11:10
AAAVUP14319000156277,ASAP,2,2,-1,,3,-1,-1,-1,-1,-1,,0.0,209.8,2026-06-04T21:14:36
AAAVUP14319000156227,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,212.5,2026-06-04T21:18:06
AAAVUP14319000156197,ASAP,4,4,-1,,2,-1,-1,-1,-1,-1,,0.0,251.7,2026-06-04T21:21:40
AAAVUP14319000156196,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,196.6,2026-06-04T21:25:53
AAAVUP14319000156127,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,254.6,2026-06-04T21:29:10
AAAVUP14319000156124,ASAP,4,4,-1,,2,-1,-1,-1,-1,-1,,0.0,242.7,2026-06-04T21:33:26
AAAVUP14319000156106,ASAP,1,0,-1,,1,-1,-1,-1,-1,-1,,0.0,244.6,2026-06-04T21:37:30
AAAVUP14319000156096,ASAP,3,3,-1,,-1,-1,-1,-1,-1,-1,,0.0,238.4,2026-06-04T21:41:36
AAAVUP14319000156094,ASAP,5,6,-1,,-1,-1,-1,-1,-1,-1,,0.0,278.3,2026-06-04T21:45:35
AAAVUP14319000156080,ASAP,1,0,-1,,1,-1,-1,-1,-1,-1,,0.0,191.1,2026-06-04T21:50:15
AAAVUP14319000156063,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,205.7,2026-06-04T21:53:27
AAAVUP14319000156008,ASAP,1,0,-1,,1,-1,-1,-1,-1,-1,,0.0,200.7,2026-06-04T21:56:54
AAAVUP14319000155993,ASAP,4,4,-1,,3,-1,-1,-1,-1,-1,,0.0,252.0,2026-06-04T22:00:15
AAAVUP14319000155960,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,209.5,2026-06-04T22:04:28
AAAVUP14319000155959,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,221.3,2026-06-04T22:07:59
