essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,hybrid_score,hybrid_trait1,hybrid_trait2,hybrid_trait3,hybrid_trait4,hybrid_trait5,hybrid_error,hybrid_srce_fields,magic_duration_sec,autoscore_duration_sec,hybrid_duration_sec,timestamp
AAAOPP13416000069177,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,3,,5,0.0,0.0,111.0,2026-06-12T04:05:34
AAATRP14318000027552,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,4,3,3,4,5,,5,0.0,0.0,120.2,2026-06-12T04:07:26
AAATRP14318001022261,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,3,2,2,3,2,3,,5,0.0,0.0,116.5,2026-06-12T04:09:27
AAATRP14318000996249,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,2,3,2,3,2,3,,5,0.0,0.0,130.0,2026-06-12T04:16:11
AAATRP14318000948049,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,3,2,3,,5,0.0,0.0,146.7,2026-06-12T04:18:22
AAAOPP13416000137694,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,129.6,2026-06-12T04:20:49
AAAOPP13416000055285,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,3,2,3,,5,0.0,0.0,166.8,2026-06-12T04:23:00
AAAOPP13416000039698,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,145.8,2026-06-12T04:25:48
AAAVUP14319000126240,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,122.5,2026-06-12T04:28:15
AAAVUP14319000036716,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,112.1,2026-06-12T04:32:02
AAATRP14318000177295,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,102.9,2026-06-12T04:36:01
AAAOPP13416000020105,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,2,2,3,,5,0.0,0.0,138.5,2026-06-12T04:37:45
AAAOPP13416000175706,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,5,,5,0.0,0.0,140.5,2026-06-12T04:40:05
5027956,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,3,,5,0.0,0.0,115.9,2026-06-12T04:42:26
AAAOPP13416000145704,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,4,,5,0.0,0.0,160.4,2026-06-12T04:44:23
AAATRP14318000751280,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,151.0,2026-06-12T04:49:17
AAAOPP13416000232926,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,137.1,2026-06-12T04:51:49
AAATRP14318000843002,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,5,5,,5,0.0,0.0,148.6,2026-06-12T04:54:07
AAAOPP13416000074332,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,132.8,2026-06-12T04:56:36
AAATRP14318000640624,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,3,,5,0.0,0.0,114.6,2026-06-12T04:58:50
5087272,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,5,,5,0.0,0.0,148.1,2026-06-12T05:05:28
5032086,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,5,,5,0.0,0.0,165.1,2026-06-12T05:07:57
AAAOPP13416000207205,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,132.0,2026-06-12T05:10:44
AAATRP14318000456999,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,3,2,3,,5,0.0,0.0,119.3,2026-06-12T05:18:02
5188395,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,160.1,2026-06-12T05:24:16
AAAOPP13416000006076,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,5,,5,0.0,0.0,169.9,2026-06-12T05:26:57
AAAOPP13416000147326,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,4,,5,0.0,0.0,165.4,2026-06-12T05:32:07
5176857,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,5,5,,5,0.0,0.0,157.4,2026-06-12T05:34:53
AAAOPP13416000037582,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,3,,5,0.0,0.0,132.3,2026-06-12T05:37:31
AAAVUP14319000095136,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,5,5,,5,0.0,0.0,158.3,2026-06-12T05:41:51
AAAVUP14319000081983,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,4,4,4,4,4,4,,5,0.0,0.0,135.7,2026-06-12T05:44:30
AAATRP14318000517165,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,2,2,3,,5,0.0,0.0,151.5,2026-06-12T05:46:47
AAAVUP14319000110770,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,5,,5,0.0,0.0,159.7,2026-06-12T05:51:21
AAAOPP13416000112086,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,4,,5,0.0,0.0,104.1,2026-06-12T05:54:02
AAAVUP14319000050642,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,3,3,,5,0.0,0.0,120.3,2026-06-12T05:55:47
AAAOPP13416000020086,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,111.0,2026-06-12T05:57:48
AAAOPP13416000009844,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,165.7,2026-06-12T06:05:04
AAAOPP13416000004638,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,5,5,,5,0.0,0.0,149.0,2026-06-12T12:33:57
AAAOPP13416000114093,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,171.0,2026-06-12T12:36:27
AAAOPP13416000125116,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,116.2,2026-06-12T12:39:19
AAATRP14318000366569,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,4,4,4,4,4,,5,0.0,0.0,197.7,2026-06-12T12:43:43
AAAOPP13416000102434,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,2,2,3,,5,0.0,0.0,156.3,2026-06-12T12:47:02
AAATRP14318001020581,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,5,5,,5,0.0,0.0,173.2,2026-06-12T12:49:39
AAAOPP13416000100096,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,5,5,,5,0.0,0.0,178.8,2026-06-12T12:52:33
