essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,hybrid_score,hybrid_trait1,hybrid_trait2,hybrid_trait3,hybrid_trait4,hybrid_trait5,hybrid_error,hybrid_srce_fields,magic_duration_sec,autoscore_duration_sec,hybrid_duration_sec,timestamp
AAAOPP13416000139092,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5178581,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000052166,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318001071339,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000148426,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000200861,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000551633,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000107815,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000100620,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5024225_cleaned,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000059874,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,4,0.0,0.0,0.0,2026-06-16
AAAVUP14319000151817,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5381720,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000063447,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318001080281,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000124219,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000090330,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000739824,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5087272,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000141032,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000033570,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000027552,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000110481,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000441789,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5032050,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000140502,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000468068,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000078380,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000375401,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000007121,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000004303,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5178748,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000045657,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000086524,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000052614,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5172342,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318001022301,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000100969,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000011258,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000038802,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000996850,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000198645,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000652578,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000047212,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000053038,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000141617,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5085741,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5188963,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000041506,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5149716,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5205068,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000397776,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000068952,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000478912,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000411222,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000727002,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000837290,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000388829,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000414435,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000128599,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000114247,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000114422,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000056833,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000106389,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000136841,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000047285,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,4,0.0,0.0,0.0,2026-06-16
AAAOPP13416000117251,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,4,0.0,0.0,0.0,2026-06-16
AAAVUP14319000014526,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,4,0.0,0.0,0.0,2026-06-16
5152992,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,6,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000082103,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000104821,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000028340,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000106672,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000029406,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,4,0.0,0.0,0.0,2026-06-16
AAATRP14318000900402,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000016496,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000065955,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000002170,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000039611,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5074621,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000014884,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000078387,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000028242,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5166159,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000218851,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000072556,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5415149,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5355024,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5076296,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000005649,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000049713,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000897665,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5080588,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000017979,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5205147_cleaned,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5164183,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000068859,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5083475,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000755012,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,4,0.0,0.0,0.0,2026-06-16
AAATRP14318000941663,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000477482,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000099651,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000108239,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000083838,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000014016,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000033351,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000108282,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000802289,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000418349,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000149324,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5420563,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000072081,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5218787,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000162852,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000039389,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000110559,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000039082,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000036309,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5030080,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000843002,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5214643,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000708969,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000826295,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000010548,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000337442,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000270776,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5415505,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000759895,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000663211,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000238465,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000236189,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000082504,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000153866,ASAP2-balanced-1000,2,2,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000023788,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000152250,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5196564,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000108275,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000914489,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000087989,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000028130,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
